436  390  tensor(77.7000, device='cuda:0')
437  390  tensor(78.0820, device='cuda:0')
438  390  tensor(77.9440, device='cuda:0')
439  390  tensor(75.1220, device='cuda:0')
440  390  tensor(76.4620, device='cuda:0')
441  390  tensor(77.7260, device='cuda:0')
442  390  tensor(78.7940, device='cuda:0')
443  390  tensor(75.7800, device='cuda:0')
444  390  tensor(77.1000, device='cuda:0')
445  390  tensor(79.1760, device='cuda:0')
446  390  tensor(79.4280, device='cuda:0')
447  390  tensor(78.6800, device='cuda:0')
448  390  tensor(76.3780, device='cuda:0')
449  390  tensor(75.6300, device='cuda:0')
450  390  tensor(79.0420, device='cuda:0')
451  390  tensor(77.9220, device='cuda:0')
452  390  tensor(80.1540, device='cuda:0')
453  390  tensor(76.1840, device='cuda:0')
454  390  tensor(77.8400, device='cuda:0')
455  390  tensor(78.3920, device='cuda:0')
456  390  tensor(76.7920, device='cuda:0')
457  390  tensor(79.4240, device='cuda:0')
458  390  tensor(78.8000, device='cuda:0')
459  390  tensor(77.7080, device='cuda:0')
460  390  tensor(76.1640, device='cuda:0')
461  390  tensor(77.5560, device='cuda:0')
462  390  tensor(77.3440, device='cuda:0')
463  390  tensor(77.3480, device='cuda:0')
464  390  tensor(77.4940, device='cuda:0')
465  390  tensor(78.3100, device='cuda:0')
466  390  tensor(77.5060, device='cuda:0')
467  390  tensor(75.2220, device='cuda:0')
468  390  tensor(73.9720, device='cuda:0')
469  390  tensor(78.6280, device='cuda:0')
470  390  tensor(77.2800, device='cuda:0')
471  390  tensor(78.3240, device='cuda:0')
472  390  tensor(75.8280, device='cuda:0')
473  390  tensor(78.0660, device='cuda:0')
474  390  tensor(78.4660, device='cuda:0')
475  390  tensor(76.9600, device='cuda:0')
476  390  tensor(75.4980, device='cuda:0')
477  390  tensor(75.4380, device='cuda:0')
478  390  tensor(79.6700, device='cuda:0')
479  390  tensor(77.2060, device='cuda:0')
480  390  tensor(78.8540, device='cuda:0')
481  390  tensor(78.2900, device='cuda:0')
482  390  tensor(76.1200, device='cuda:0')
483  390  tensor(78.6740, device='cuda:0')
484  390  tensor(77.8180, device='cuda:0')
485  390  tensor(78.9560, device='cuda:0')
486  390  tensor(78.6360, device='cuda:0')
487  390  tensor(77.6120, device='cuda:0')
488  390  tensor(78.5980, device='cuda:0')
489  390  tensor(77.9360, device='cuda:0')
490  390  tensor(77.5240, device='cuda:0')
491  390  tensor(78.5180, device='cuda:0')
492  390  tensor(77.4880, device='cuda:0')
493  390  tensor(77.6520, device='cuda:0')
494  390  tensor(78.2540, device='cuda:0')
495  390  tensor(75.3500, device='cuda:0')
496  390  tensor(79.4340, device='cuda:0')
497  390  tensor(77.9880, device='cuda:0')
498  390  tensor(78.9200, device='cuda:0')
499  390  tensor(76.0760, device='cuda:0')
