309  468  tensor(78.7450, device='cuda:0')
310  468  tensor(78.9983, device='cuda:0')
311  468  tensor(79.7083, device='cuda:0')
312  468  tensor(79.4633, device='cuda:0')
313  468  tensor(79.1867, device='cuda:0')
314  468  tensor(80.4200, device='cuda:0')
315  468  tensor(78.1050, device='cuda:0')
316  468  tensor(75.9367, device='cuda:0')
317  468  tensor(78.9967, device='cuda:0')
318  468  tensor(78.2200, device='cuda:0')
319  468  tensor(77.3833, device='cuda:0')
320  468  tensor(79.3050, device='cuda:0')
321  468  tensor(75.2900, device='cuda:0')
322  468  tensor(75.6317, device='cuda:0')
323  468  tensor(82.0333, device='cuda:0')
324  468  tensor(79.8000, device='cuda:0')
325  468  tensor(77.5283, device='cuda:0')
326  468  tensor(77.1167, device='cuda:0')
327  468  tensor(77.7100, device='cuda:0')
328  468  tensor(77.1350, device='cuda:0')
329  468  tensor(78.5250, device='cuda:0')
330  468  tensor(78.7883, device='cuda:0')
331  468  tensor(78.6650, device='cuda:0')
332  468  tensor(77.7500, device='cuda:0')
333  468  tensor(79.4317, device='cuda:0')
334  468  tensor(79.4083, device='cuda:0')
335  468  tensor(79.3650, device='cuda:0')
336  468  tensor(76.7817, device='cuda:0')
337  468  tensor(78.9150, device='cuda:0')
338  468  tensor(77.0367, device='cuda:0')
339  468  tensor(76.5217, device='cuda:0')
340  468  tensor(79.1100, device='cuda:0')
341  468  tensor(77.2400, device='cuda:0')
342  468  tensor(78.4683, device='cuda:0')
343  468  tensor(76.8067, device='cuda:0')
344  468  tensor(80.2767, device='cuda:0')
345  468  tensor(75.6867, device='cuda:0')
346  468  tensor(78.2950, device='cuda:0')
347  468  tensor(77.3783, device='cuda:0')
348  468  tensor(80.9100, device='cuda:0')
349  468  tensor(79.6700, device='cuda:0')
350  468  tensor(77.7167, device='cuda:0')
351  468  tensor(79.4817, device='cuda:0')
352  468  tensor(77.9817, device='cuda:0')
353  468  tensor(78.4433, device='cuda:0')
354  468  tensor(77.4017, device='cuda:0')
355  468  tensor(79.8500, device='cuda:0')
356  468  tensor(78.7933, device='cuda:0')
357  468  tensor(78.5050, device='cuda:0')
358  468  tensor(80.9950, device='cuda:0')
359  468  tensor(79.8833, device='cuda:0')
360  468  tensor(78.2383, device='cuda:0')
361  468  tensor(76.2217, device='cuda:0')
362  468  tensor(77.8633, device='cuda:0')
363  468  tensor(82.1950, device='cuda:0')
364  468  tensor(77.7117, device='cuda:0')
365  468  tensor(77.6017, device='cuda:0')
366  468  tensor(79.1250, device='cuda:0')
367  468  tensor(78.8850, device='cuda:0')
368  468  tensor(77.2817, device='cuda:0')
369  468  tensor(80.8500, device='cuda:0')
370  468  tensor(77.1483, device='cuda:0')
371  468  tensor(79.4200, device='cuda:0')
372  468  tensor(80.5833, device='cuda:0')
373  468  tensor(77.9750, device='cuda:0')
374  468  tensor(79.6200, device='cuda:0')
375  468  tensor(79.9767, device='cuda:0')
376  468  tensor(79.6750, device='cuda:0')
377  468  tensor(79.1483, device='cuda:0')
378  468  tensor(76.6933, device='cuda:0')
379  468  tensor(78.3633, device='cuda:0')
380  468  tensor(78.2683, device='cuda:0')
381  468  tensor(75.8650, device='cuda:0')
382  468  tensor(81.1517, device='cuda:0')
383  468  tensor(78.1833, device='cuda:0')
384  468  tensor(78.7850, device='cuda:0')
385  468  tensor(81.3600, device='cuda:0')
386  468  tensor(81.0517, device='cuda:0')
387  468  tensor(81.2817, device='cuda:0')
388  468  tensor(77.8433, device='cuda:0')
389  468  tensor(78.9733, device='cuda:0')
390  468  tensor(77.7317, device='cuda:0')
391  468  tensor(78.3350, device='cuda:0')
392  468  tensor(78.2933, device='cuda:0')
393  468  tensor(77.2783, device='cuda:0')
394  468  tensor(78.4017, device='cuda:0')
395  468  tensor(78.3683, device='cuda:0')
396  468  tensor(78.1600, device='cuda:0')
397  468  tensor(76.9733, device='cuda:0')
398  468  tensor(77.3783, device='cuda:0')
399  468  tensor(78.2983, device='cuda:0')
400  468  tensor(80.9900, device='cuda:0')
401  468  tensor(77.8283, device='cuda:0')
402  468  tensor(81.9533, device='cuda:0')
403  468  tensor(78.5300, device='cuda:0')
404  468  tensor(78.0733, device='cuda:0')
405  468  tensor(79.6017, device='cuda:0')
406  468  tensor(81.4550, device='cuda:0')
407  468  tensor(77.3883, device='cuda:0')
408  468  tensor(78.9550, device='cuda:0')
409  468  tensor(79.8983, device='cuda:0')
410  468  tensor(78.2000, device='cuda:0')
411  468  tensor(78.3333, device='cuda:0')
412  468  tensor(80.3950, device='cuda:0')
413  468  tensor(80.9817, device='cuda:0')
414  468  tensor(78.4133, device='cuda:0')
415  468  tensor(78.4550, device='cuda:0')
416  468  tensor(78.7917, device='cuda:0')
417  468  tensor(77.8000, device='cuda:0')
418  468  tensor(79.7133, device='cuda:0')
419  468  tensor(77.8283, device='cuda:0')
420  468  tensor(79.5933, device='cuda:0')
421  468  tensor(77.6500, device='cuda:0')
422  468  tensor(79.9283, device='cuda:0')
423  468  tensor(79.5517, device='cuda:0')
424  468  tensor(79.7617, device='cuda:0')
425  468  tensor(77.7383, device='cuda:0')
426  468  tensor(80.1750, device='cuda:0')
427  468  tensor(77.6800, device='cuda:0')
428  468  tensor(80.8517, device='cuda:0')
429  468  tensor(79.7200, device='cuda:0')
430  468  tensor(79.0250, device='cuda:0')
431  468  tensor(78.5517, device='cuda:0')
432  468  tensor(79.9900, device='cuda:0')
433  468  tensor(79.3700, device='cuda:0')
434  468  tensor(81.1750, device='cuda:0')
435  468  tensor(78.6517, device='cuda:0')
436  468  tensor(79.0833, device='cuda:0')
437  468  tensor(77.9417, device='cuda:0')
438  468  tensor(79.1950, device='cuda:0')
439  468  tensor(78.7550, device='cuda:0')
440  468  tensor(79.0283, device='cuda:0')
441  468  tensor(79.1450, device='cuda:0')
442  468  tensor(77.9217, device='cuda:0')
443  468  tensor(79.9833, device='cuda:0')
444  468  tensor(80.0017, device='cuda:0')
445  468  tensor(80.5100, device='cuda:0')
446  468  tensor(77.9300, device='cuda:0')
447  468  tensor(77.7483, device='cuda:0')
448  468  tensor(79.8400, device='cuda:0')
449  468  tensor(80.3300, device='cuda:0')
450  468  tensor(80.8950, device='cuda:0')
451  468  tensor(80.0983, device='cuda:0')
452  468  tensor(79.4600, device='cuda:0')
453  468  tensor(78.4533, device='cuda:0')
454  468  tensor(78.8967, device='cuda:0')
455  468  tensor(78.3367, device='cuda:0')
456  468  tensor(78.3950, device='cuda:0')
457  468  tensor(78.9117, device='cuda:0')
458  468  tensor(79.7050, device='cuda:0')
459  468  tensor(79.0717, device='cuda:0')
460  468  tensor(79.3450, device='cuda:0')
461  468  tensor(81.0133, device='cuda:0')
462  468  tensor(81.1383, device='cuda:0')
463  468  tensor(79.3850, device='cuda:0')
464  468  tensor(80.6367, device='cuda:0')
465  468  tensor(82.0833, device='cuda:0')
466  468  tensor(78.6767, device='cuda:0')
467  468  tensor(81.3967, device='cuda:0')
468  468  tensor(80.0133, device='cuda:0')
469  468  tensor(78.6533, device='cuda:0')
470  468  tensor(80.5167, device='cuda:0')
471  468  tensor(77.6783, device='cuda:0')
472  468  tensor(81.0050, device='cuda:0')
