198  234  lr 0.09136294500014386  tensor(77.1167, device='cuda:0')
199  234  lr 0.0912735948481387  tensor(79.3400, device='cuda:0')
200  234  lr 0.09118382907149164  tensor(75.4800, device='cuda:0')
201  234  lr 0.09109364857414307  tensor(76.3800, device='cuda:0')
202  234  lr 0.09100305426420957  tensor(80.1517, device='cuda:0')
203  234  lr 0.09091204705397483  tensor(77.5000, device='cuda:0')
204  234  lr 0.09082062785988049  tensor(76.8533, device='cuda:0')
205  234  lr 0.09072879760251679  tensor(82.6783, device='cuda:0')
206  234  lr 0.0906365572066134  tensor(77.2750, device='cuda:0')
207  234  lr 0.0905439076010301  tensor(78.2867, device='cuda:0')
208  234  lr 0.09045084971874738  tensor(77.8683, device='cuda:0')
209  234  lr 0.09035738449685707  tensor(79.4117, device='cuda:0')
210  234  lr 0.09026351287655293  tensor(77.8850, device='cuda:0')
211  234  lr 0.09016923580312114  tensor(77.3967, device='cuda:0')
212  234  lr 0.09007455422593076  tensor(77.8150, device='cuda:0')
213  234  lr 0.08997946909842425  tensor(78.7233, device='cuda:0')
214  234  lr 0.08988398137810777  tensor(81.9600, device='cuda:0')
215  234  lr 0.08978809202654162  tensor(81.3850, device='cuda:0')
216  234  lr 0.08969180200933047  tensor(78.6017, device='cuda:0')
217  234  lr 0.08959511229611376  tensor(79.1100, device='cuda:0')
218  234  lr 0.08949802386055582  tensor(81.5467, device='cuda:0')
219  234  lr 0.0894005376803361  tensor(78.7200, device='cuda:0')
220  234  lr 0.08930265473713939  tensor(76.4050, device='cuda:0')
221  234  lr 0.0892043760166458  tensor(77.3500, device='cuda:0')
222  234  lr 0.08910570250852097  tensor(77.0783, device='cuda:0')
223  234  lr 0.08900663520640605  tensor(76.3150, device='cuda:0')
224  234  lr 0.08890717510790763  tensor(76.2550, device='cuda:0')
225  234  lr 0.08880732321458784  tensor(76.9533, device='cuda:0')
226  234  lr 0.08870708053195414  tensor(77.0533, device='cuda:0')
227  234  lr 0.08860644806944917  tensor(79.9367, device='cuda:0')
228  234  lr 0.08850542684044078  tensor(78.6967, device='cuda:0')
229  234  lr 0.0884040178622116  tensor(78.5983, device='cuda:0')
230  234  lr 0.0883022221559489  tensor(76.3733, device='cuda:0')
231  234  lr 0.08820004074673433  tensor(81.7583, device='cuda:0')
232  234  lr 0.08809747466353356  tensor(76.9050, device='cuda:0')
233  234  lr 0.08799452493918586  tensor(77.7450, device='cuda:0')
234  234  lr 0.08789119261039385  tensor(78.5333, device='cuda:0')
235  234  lr 0.08778747871771292  tensor(76.0033, device='cuda:0')
236  234  lr 0.08768338430554083  tensor(75.9250, device='cuda:0')
237  234  lr 0.08757891042210714  tensor(77.1400, device='cuda:0')
238  234  lr 0.08747405811946271  tensor(81.3850, device='cuda:0')
239  234  lr 0.08736882845346905  tensor(77.1617, device='cuda:0')
240  234  lr 0.08726322248378775  tensor(76.7433, device='cuda:0')
241  234  lr 0.08715724127386971  tensor(78.2917, device='cuda:0')
242  234  lr 0.08705088589094459  tensor(77.3433, device='cuda:0')
243  234  lr 0.08694415740600989  tensor(78.2400, device='cuda:0')
244  234  lr 0.08683705689382025  tensor(75.4483, device='cuda:0')
245  234  lr 0.08672958543287666  tensor(79.2083, device='cuda:0')
246  234  lr 0.08662174410541555  tensor(75.1717, device='cuda:0')
247  234  lr 0.08651353399739788  tensor(75.5300, device='cuda:0')
248  234  lr 0.08640495619849821  tensor(79.5850, device='cuda:0')
249  234  lr 0.08629601180209381  tensor(75.1200, device='cuda:0')
250  234  lr 0.08618670190525352  tensor(79.5483, device='cuda:0')
251  234  lr 0.08607702760872678  tensor(78.4050, device='cuda:0')
252  234  lr 0.08596699001693256  tensor(78.6067, device='cuda:0')
253  234  lr 0.08585659023794819  tensor(77.8900, device='cuda:0')
254  234  lr 0.08574582938349817  tensor(75.9917, device='cuda:0')
255  234  lr 0.08563470856894316  tensor(79.2317, device='cuda:0')
256  234  lr 0.08552322891326845  tensor(72.3383, device='cuda:0')
257  234  lr 0.08541139153907296  tensor(77.8500, device='cuda:0')
258  234  lr 0.08529919757255783  tensor(78.5067, device='cuda:0')
259  234  lr 0.08518664814351502  tensor(79.3967, device='cuda:0')
260  234  lr 0.08507374438531606  tensor(79.7067, device='cuda:0')
261  234  lr 0.08496048743490053  tensor(80.4633, device='cuda:0')
262  234  lr 0.08484687843276469  tensor(78.7650, device='cuda:0')
263  234  lr 0.08473291852294987  tensor(77.9850, device='cuda:0')
264  234  lr 0.08461860885303114  tensor(79.6217, device='cuda:0')
265  234  lr 0.0845039505741056  tensor(79.4850, device='cuda:0')
266  234  lr 0.08438894484078086  tensor(76.9617, device='cuda:0')
267  234  lr 0.08427359281116334  tensor(78.8900, device='cuda:0')
268  234  lr 0.08415789564684673  tensor(79.5433, device='cuda:0')
269  234  lr 0.08404185451290018  tensor(78.0117, device='cuda:0')
270  234  lr 0.08392547057785661  tensor(76.1817, device='cuda:0')
271  234  lr 0.08380874501370097  tensor(76.2217, device='cuda:0')
272  234  lr 0.0836916789958584  tensor(77.1083, device='cuda:0')
273  234  lr 0.08357427370318238  tensor(78.2667, device='cuda:0')
274  234  lr 0.08345653031794292  tensor(78.6883, device='cuda:0')
275  234  lr 0.08333845002581458  tensor(77.1950, device='cuda:0')
276  234  lr 0.08322003401586463  tensor(80.7950, device='cuda:0')
277  234  lr 0.08310128348054094  tensor(79.6350, device='cuda:0')
278  234  lr 0.08298219961566008  tensor(78.4983, device='cuda:0')
279  234  lr 0.08286278362039529  tensor(79.5267, device='cuda:0')
280  234  lr 0.08274303669726427  tensor(78.3650, device='cuda:0')
281  234  lr 0.08262296005211722  tensor(78.5033, device='cuda:0')
282  234  lr 0.08250255489412463  tensor(80.3583, device='cuda:0')
283  234  lr 0.08238182243576511  tensor(81.9733, device='cuda:0')
284  234  lr 0.08226076389281316  tensor(82.1300, device='cuda:0')
285  234  lr 0.08213938048432697  tensor(80.1083, device='cuda:0')
286  234  lr 0.08201767343263612  tensor(78.0133, device='cuda:0')
287  234  lr 0.08189564396332927  tensor(78.9417, device='cuda:0')
288  234  lr 0.08177329330524181  tensor(74.2650, device='cuda:0')
289  234  lr 0.08165062269044353  tensor(76.5383, device='cuda:0')
290  234  lr 0.08152763335422614  tensor(76.8117, device='cuda:0')
291  234  lr 0.08140432653509089  tensor(80.6717, device='cuda:0')
292  234  lr 0.0812807034747361  tensor(81.5267, device='cuda:0')
293  234  lr 0.08115676541804456  tensor(79.7233, device='cuda:0')
294  234  lr 0.08103251361307119  tensor(74.8067, device='cuda:0')
295  234  lr 0.08090794931103026  tensor(76.3467, device='cuda:0')
296  234  lr 0.08078307376628291  tensor(80.3250, device='cuda:0')
297  234  lr 0.08065788823632451  tensor(78.6267, device='cuda:0')
298  234  lr 0.08053239398177192  tensor(79.6717, device='cuda:0')
299  234  lr 0.0804065922663509  tensor(79.4500, device='cuda:0')
300  234  lr 0.08028048435688334  tensor(79.2533, device='cuda:0')
301  234  lr 0.08015407152327447  tensor(75.4450, device='cuda:0')
302  234  lr 0.08002735503850017  tensor(79.6333, device='cuda:0')
303  234  lr 0.07990033617859396  tensor(81.0617, device='cuda:0')
304  234  lr 0.0797730162226344  tensor(79.7100, device='cuda:0')
305  234  lr 0.07964539645273204  tensor(79.4333, device='cuda:0')
306  234  lr 0.0795174781540165  tensor(78.2650, device='cuda:0')
307  234  lr 0.07938926261462366  tensor(74.8300, device='cuda:0')
308  234  lr 0.0792607511256826  tensor(79.5017, device='cuda:0')
309  234  lr 0.07913194498130252  tensor(82.4633, device='cuda:0')
310  234  lr 0.07900284547855992  tensor(79.4467, device='cuda:0')
311  234  lr 0.07887345391748533  tensor(76.1750, device='cuda:0')
312  234  lr 0.07874377160105037  tensor(77.0217, device='cuda:0')
313  234  lr 0.07861379983515449  tensor(79.7183, device='cuda:0')
314  234  lr 0.07848353992861196  tensor(78.5967, device='cuda:0')
315  234  lr 0.07835299319313854  tensor(75.8833, device='cuda:0')
316  234  lr 0.07822216094333848  tensor(74.4700, device='cuda:0')
317  234  lr 0.07809104449669102  tensor(80.8350, device='cuda:0')
318  234  lr 0.07795964517353735  tensor(76.6383, device='cuda:0')
319  234  lr 0.0778279642970672  tensor(77.1867, device='cuda:0')
320  234  lr 0.07769600319330552  tensor(75.5433, device='cuda:0')
321  234  lr 0.07756376319109917  tensor(76.9550, device='cuda:0')
322  234  lr 0.07743124562210352  tensor(79.0533, device='cuda:0')
323  234  lr 0.07729845182076896  tensor(77.7817, device='cuda:0')
324  234  lr 0.07716538312432766  tensor(78.3250, device='cuda:0')
325  234  lr 0.07703204087277989  tensor(80.0933, device='cuda:0')
326  234  lr 0.07689842640888063  tensor(78.9650, device='cuda:0')
327  234  lr 0.07676454107812608  tensor(74.9483, device='cuda:0')
328  234  lr 0.07663038622874  tensor(78.5050, device='cuda:0')
329  234  lr 0.07649596321166025  tensor(76.4000, device='cuda:0')
330  234  lr 0.07636127338052512  tensor(79.5183, device='cuda:0')
331  234  lr 0.07622631809165972  tensor(79.7600, device='cuda:0')
332  234  lr 0.0760910987040623  tensor(76.3617, device='cuda:0')
333  234  lr 0.07595561657939061  tensor(79.7583, device='cuda:0')
334  234  lr 0.0758198730819481  tensor(79.0433, device='cuda:0')
335  234  lr 0.07568386957867033  tensor(80.6350, device='cuda:0')
336  234  lr 0.07554760743911104  tensor(76.3267, device='cuda:0')
337  234  lr 0.07541108803542845  tensor(80.1083, device='cuda:0')
338  234  lr 0.0752743127423715  tensor(79.8367, device='cuda:0')
339  234  lr 0.07513728293726579  tensor(81.8150, device='cuda:0')
340  234  lr 0.07500000000000001  tensor(80.4650, device='cuda:0')
341  234  lr 0.07486246531301177  tensor(76.6417, device='cuda:0')
342  234  lr 0.07472468026127385  tensor(80.5567, device='cuda:0')
343  234  lr 0.0745866462322802  tensor(78.2800, device='cuda:0')
344  234  lr 0.07444836461603195  tensor(80.6333, device='cuda:0')
345  234  lr 0.07430983680502344  tensor(77.3600, device='cuda:0')
346  234  lr 0.07417106419422818  tensor(75.8350, device='cuda:0')
347  234  lr 0.07403204818108487  tensor(80.0933, device='cuda:0')
348  234  lr 0.07389279016548315  tensor(78.5133, device='cuda:0')
349  234  lr 0.07375329154974976  tensor(81.8433, device='cuda:0')
350  234  lr 0.07361355373863414  tensor(80.6667, device='cuda:0')
351  234  lr 0.07347357813929455  tensor(78.3533, device='cuda:0')
352  234  lr 0.07333336616128369  tensor(81.3900, device='cuda:0')
